Date,Pair,Open,High,Low,Close
1/2/2012 0:00,GBPUSD,1.54937,1.55405,1.54669,1.55089
1/3/2012 0:00,GBPUSD,1.55091,1.56687,1.5504,1.56438
1/4/2012 0:00,GBPUSD,1.56437,1.56672,1.55801,1.56091
1/5/2012 0:00,GBPUSD,1.56091,1.56283,1.5467,1.54943
1/6/2012 0:00,GBPUSD,1.54942,1.5524,1.53751,1.54243
1/9/2012 0:00,GBPUSD,1.54151,1.54688,1.53953,1.54588
1/10/2012 0:00,GBPUSD,1.54589,1.54995,1.54459,1.54822
1/11/2012 0:00,GBPUSD,1.54826,1.54862,1.53088,1.53264
1/12/2012 0:00,GBPUSD,1.53261,1.53667,1.52789,1.53359
1/13/2012 0:00,GBPUSD,1.53361,1.54078,1.52358,1.53156
1/16/2012 0:00,GBPUSD,1.52944,1.53515,1.52818,1.53106
1/17/2012 0:00,GBPUSD,1.53106,1.54034,1.53099,1.53346
1/18/2012 0:00,GBPUSD,1.53345,1.54409,1.53272,1.54271
1/19/2012 0:00,GBPUSD,1.54271,1.54916,1.5415,1.54868
1/20/2012 0:00,GBPUSD,1.54867,1.55765,1.54498,1.55737
1/23/2012 0:00,GBPUSD,1.55401,1.56012,1.55161,1.55615
1/24/2012 0:00,GBPUSD,1.55615,1.56253,1.55321,1.56197
1/25/2012 0:00,GBPUSD,1.56195,1.56772,1.55328,1.56535
1/26/2012 0:00,GBPUSD,1.56536,1.57333,1.56495,1.56866
1/27/2012 0:00,GBPUSD,1.56868,1.57392,1.56403,1.57269
1/30/2012 0:00,GBPUSD,1.57253,1.57298,1.56534,1.5708
1/31/2012 0:00,GBPUSD,1.57078,1.57952,1.56975,1.57645
2/1/2012 0:00,GBPUSD,1.57644,1.58821,1.57054,1.58451
2/2/2012 0:00,GBPUSD,1.5845,1.5857,1.57948,1.58055
2/3/2012 0:00,GBPUSD,1.58057,1.58591,1.57492,1.58107
2/6/2012 0:00,GBPUSD,1.58193,1.58392,1.57294,1.58178
2/7/2012 0:00,GBPUSD,1.58179,1.59042,1.57877,1.58996
2/8/2012 0:00,GBPUSD,1.58997,1.59277,1.57961,1.58136
2/9/2012 0:00,GBPUSD,1.58134,1.58839,1.57916,1.58152
2/10/2012 0:00,GBPUSD,1.58156,1.58486,1.57295,1.57525
2/13/2012 0:00,GBPUSD,1.57904,1.58265,1.57467,1.57496
2/14/2012 0:00,GBPUSD,1.57497,1.57689,1.56445,1.56899
2/15/2012 0:00,GBPUSD,1.569,1.57349,1.56701,1.56883
2/16/2012 0:00,GBPUSD,1.56883,1.58155,1.56543,1.58035
2/17/2012 0:00,GBPUSD,1.58036,1.58612,1.57891,1.5833
2/20/2012 0:00,GBPUSD,1.58615,1.58791,1.58379,1.58379
2/21/2012 0:00,GBPUSD,1.58381,1.58638,1.57723,1.57784
2/22/2012 0:00,GBPUSD,1.57783,1.58127,1.5648,1.5667
2/23/2012 0:00,GBPUSD,1.56671,1.57489,1.56487,1.57446
2/24/2012 0:00,GBPUSD,1.57446,1.58983,1.57208,1.58711
2/27/2012 0:00,GBPUSD,1.58919,1.58941,1.58102,1.5819
2/28/2012 0:00,GBPUSD,1.58189,1.59058,1.57992,1.59003
2/29/2012 0:00,GBPUSD,1.59003,1.59908,1.58979,1.59198
3/1/2012 0:00,GBPUSD,1.59199,1.5974,1.58958,1.59536
3/2/2012 0:00,GBPUSD,1.59534,1.59652,1.5823,1.58322
3/5/2012 0:00,GBPUSD,1.58317,1.5876,1.57857,1.58607
3/6/2012 0:00,GBPUSD,1.58607,1.58809,1.56956,1.57133
3/7/2012 0:00,GBPUSD,1.57135,1.57578,1.56964,1.57404
